student_id,student_no,item_id,paper,paper_item_no,source_true,item_type,score,correct,response_missing,form,order_group,block_position,training_year,training_setting_code,training_setting,total_time_seconds
S027,27,M017,M,17,MAS,A1,2.0,1,0,B,B,1,3,A,main,5400.0
S027,27,M023,M,23,MAS,A1,2.0,1,0,B,B,1,3,A,main,5400.0
S027,27,M024,M,24,MAS,A1,2.0,1,0,B,B,1,3,A,main,5400.0
S028,28,M001,M,1,MAS,A1,2.0,1,0,B,B,1,3,A,main,2551.0
S028,28,M002,M,2,MAS,A1,2.0,1,0,B,B,1,3,A,main,2551.0
S028,28,M006,M,6,MAS,A1,0.0,0,0,B,B,1,3,A,main,2551.0
S028,28,M007,M,7,MAS,A1,2.0,1,0,B,B,1,3,A,main,2551.0
S028,28,M017,M,17,MAS,A1,2.0,1,0,B,B,1,3,A,main,2551.0
S028,28,M023,M,23,MAS,A1,2.0,1,0,B,B,1,3,A,main,2551.0
S028,28,M024,M,24,MAS,A1,2.0,1,0,B,B,1,3,A,main,2551.0
S029,29,M001,M,1,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,1989.0
S029,29,M002,M,2,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,1989.0
S029,29,M006,M,6,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,1989.0
S029,29,M007,M,7,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,1989.0
S029,29,M017,M,17,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,1989.0
S029,29,M023,M,23,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,1989.0
S029,29,M024,M,24,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,1989.0
S030,30,M001,M,1,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3480.0
S030,30,M002,M,2,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3480.0
S030,30,M006,M,6,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3480.0
S030,30,M007,M,7,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3480.0
S030,30,M017,M,17,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3480.0
S030,30,M023,M,23,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3480.0
S030,30,M024,M,24,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3480.0
S031,31,M001,M,1,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,2580.0
S031,31,M002,M,2,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,2580.0
S031,31,M006,M,6,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,2580.0
S031,31,M007,M,7,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,2580.0
S031,31,M017,M,17,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,2580.0
S031,31,M023,M,23,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,2580.0
S031,31,M024,M,24,MAS,A1,0.0,0,0,B,B,1,1,B,non_main,2580.0
S032,32,M001,M,1,MAS,A1,0.0,0,0,B,B,1,1,B,non_main,2201.0
S032,32,M002,M,2,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,2201.0
S032,32,M006,M,6,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,2201.0
S032,32,M007,M,7,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,2201.0
S032,32,M017,M,17,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,2201.0
S032,32,M023,M,23,MAS,A1,0.0,0,0,B,B,1,1,B,non_main,2201.0
S032,32,M024,M,24,MAS,A1,0.0,0,0,B,B,1,1,B,non_main,2201.0
S033,33,M001,M,1,MAS,A1,0.0,0,0,B,B,1,1,A,main,2530.0
S033,33,M002,M,2,MAS,A1,2.0,1,0,B,B,1,1,A,main,2530.0
S033,33,M006,M,6,MAS,A1,0.0,0,0,B,B,1,1,A,main,2530.0
S033,33,M007,M,7,MAS,A1,2.0,1,0,B,B,1,1,A,main,2530.0
S033,33,M017,M,17,MAS,A1,2.0,1,0,B,B,1,1,A,main,2530.0
S033,33,M023,M,23,MAS,A1,0.0,0,0,B,B,1,1,A,main,2530.0
S033,33,M024,M,24,MAS,A1,0.0,0,0,B,B,1,1,A,main,2530.0
S034,34,M001,M,1,MAS,A1,2.0,1,0,B,B,1,2,A,main,2463.0
S034,34,M002,M,2,MAS,A1,2.0,1,0,B,B,1,2,A,main,2463.0
S034,34,M006,M,6,MAS,A1,2.0,1,0,B,B,1,2,A,main,2463.0
S034,34,M007,M,7,MAS,A1,2.0,1,0,B,B,1,2,A,main,2463.0
S034,34,M017,M,17,MAS,A1,2.0,1,0,B,B,1,2,A,main,2463.0
S034,34,M023,M,23,MAS,A1,0.0,0,0,B,B,1,2,A,main,2463.0
S034,34,M024,M,24,MAS,A1,2.0,1,0,B,B,1,2,A,main,2463.0
S035,35,M001,M,1,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,2099.0
S035,35,M002,M,2,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,2099.0
S035,35,M006,M,6,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,2099.0
S035,35,M007,M,7,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,2099.0
S035,35,M017,M,17,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,2099.0
S035,35,M023,M,23,MAS,A1,0.0,0,0,B,B,1,2,B,non_main,2099.0
S035,35,M024,M,24,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,2099.0
S036,36,M001,M,1,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,1369.0
S036,36,M002,M,2,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,1369.0
S036,36,M006,M,6,MAS,A1,0.0,0,0,B,B,1,1,B,non_main,1369.0
S036,36,M007,M,7,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,1369.0
S036,36,M017,M,17,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,1369.0
S036,36,M023,M,23,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,1369.0
S036,36,M024,M,24,MAS,A1,2.0,1,0,B,B,1,1,B,non_main,1369.0
S037,37,M001,M,1,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3191.0
S037,37,M002,M,2,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3191.0
S037,37,M006,M,6,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3191.0
S037,37,M007,M,7,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3191.0
S037,37,M017,M,17,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3191.0
S037,37,M023,M,23,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3191.0
S037,37,M024,M,24,MAS,A1,2.0,1,0,B,B,1,2,B,non_main,3191.0
S038,38,M001,M,1,MAS,A1,2.0,1,0,B,B,1,2,A,main,1364.0
S038,38,M002,M,2,MAS,A1,2.0,1,0,B,B,1,2,A,main,1364.0
S038,38,M006,M,6,MAS,A1,0.0,0,0,B,B,1,2,A,main,1364.0
S038,38,M007,M,7,MAS,A1,2.0,1,0,B,B,1,2,A,main,1364.0
S038,38,M017,M,17,MAS,A1,0.0,0,0,B,B,1,2,A,main,1364.0
S038,38,M023,M,23,MAS,A1,0.0,0,0,B,B,1,2,A,main,1364.0
S038,38,M024,M,24,MAS,A1,2.0,1,0,B,B,1,2,A,main,1364.0
S039,39,M001,M,1,MAS,A1,0.0,0,0,B,B,1,3,B,non_main,1782.0
S039,39,M002,M,2,MAS,A1,2.0,1,0,B,B,1,3,B,non_main,1782.0
S039,39,M006,M,6,MAS,A1,0.0,0,0,B,B,1,3,B,non_main,1782.0
S039,39,M007,M,7,MAS,A1,2.0,1,0,B,B,1,3,B,non_main,1782.0
S039,39,M017,M,17,MAS,A1,2.0,1,0,B,B,1,3,B,non_main,1782.0
S039,39,M023,M,23,MAS,A1,0.0,0,0,B,B,1,3,B,non_main,1782.0
S039,39,M024,M,24,MAS,A1,0.0,0,0,B,B,1,3,B,non_main,1782.0
S040,40,M001,M,1,MAS,A1,0.0,0,0,B,B,1,2,A,main,2326.0
S040,40,M002,M,2,MAS,A1,0.0,0,0,B,B,1,2,A,main,2326.0
S040,40,M006,M,6,MAS,A1,0.0,0,0,B,B,1,2,A,main,2326.0
S040,40,M007,M,7,MAS,A1,2.0,1,0,B,B,1,2,A,main,2326.0
S040,40,M017,M,17,MAS,A1,2.0,1,0,B,B,1,2,A,main,2326.0
S040,40,M023,M,23,MAS,A1,0.0,0,0,B,B,1,2,A,main,2326.0
S040,40,M024,M,24,MAS,A1,0.0,0,0,B,B,1,2,A,main,2326.0
S041,41,M001,M,1,MAS,A1,2.0,1,0,B,B,1,2,A,main,2697.0
S041,41,M002,M,2,MAS,A1,2.0,1,0,B,B,1,2,A,main,2697.0
S041,41,M006,M,6,MAS,A1,0.0,0,0,B,B,1,2,A,main,2697.0
S041,41,M007,M,7,MAS,A1,2.0,1,0,B,B,1,2,A,main,2697.0
S041,41,M017,M,17,MAS,A1,2.0,1,0,B,B,1,2,A,main,2697.0
S041,41,M023,M,23,MAS,A1,0.0,0,0,B,B,1,2,A,main,2697.0
S041,41,M024,M,24,MAS,A1,0.0,0,0,B,B,1,2,A,main,2697.0
S042,42,M001,M,1,MAS,A1,0.0,0,0,B,B,1,2,A,main,1331.0
S042,42,M002,M,2,MAS,A1,2.0,1,0,B,B,1,2,A,main,1331.0
