source,bootstrap_replicate,icc_3_1,icc_3_k
Human,113,0.8798195343809396,0.9669784770967639
Human,114,0.8472658123837583,0.9568766451705696
Human,115,0.8661625894879612,0.9628073182060111
Human,116,0.8609991263901612,0.9612054213553404
Human,117,0.8316750475289107,0.9518387005518052
Human,118,0.8296411795106462,0.9511715236496593
Human,119,0.8436232687214112,0.9557115555477054
Human,120,0.8872580420696132,0.9692111107773017
Human,121,0.8572666918466797,0.960038830523923
Human,122,0.8731884881066937,0.9649649900952607
Human,123,0.8716053908408063,0.9644810128561532
Human,124,0.8463843124386248,0.9565953519720234
Human,125,0.9042588822939721,0.9742130683281384
Human,126,0.8725080384807784,0.9647571218737729
Human,127,0.8701470495520928,0.9640340487211001
Human,128,0.8775078464399649,0.9662790475452862
Human,129,0.8625761046370961,0.9616961254200749
Human,130,0.8511633864499061,0.9581153719650849
Human,131,0.8501083840586112,0.9577808765347797
Human,132,0.8624080377174835,0.9616438901104507
Human,133,0.866707341447254,0.962975516482079
Human,134,0.836071526887013,0.9532729628294007
Human,135,0.8171013635111218,0.947005934078497
Human,136,0.8589058119767893,0.9605520451222032
Human,137,0.8658800576458756,0.9627200231521181
Human,138,0.8781966089390868,0.966487720247769
Human,139,0.8269892169604274,0.9502980778934353
Human,140,0.8027527510038617,0.9421266716447182
Human,141,0.8972161055554568,0.9721577231556664
Human,142,0.8592871896751608,0.9606712535937589
Human,143,0.8651756955550645,0.9625022142247346
Human,144,0.8997354056025362,0.9728956461140489
Human,145,0.8766749138169267,0.966026378615319
Human,146,0.8688698080585474,0.9636416987482849
Human,147,0.8382647433401356,0.9539844309295666
Human,148,0.8820461598251681,0.9676496543291467
Human,149,0.8573340148878745,0.9600599374445319
Human,150,0.8871149839242548,0.9691684292076637
Human,151,0.9055559329518638,0.9745890479969136
Human,152,0.8615910795857151,0.96138976967417
Human,153,0.8828724256849991,0.9678980925043634
Human,154,0.8675241960348992,0.9632274435211877
Human,155,0.876545108448649,0.9659869710080077
Human,156,0.8550980364308813,0.9593576408769633
Human,157,0.8411997341853286,0.954932369805431
Human,158,0.8557135723375531,0.9595512375011431
Human,159,0.8785696312099225,0.9666006348850318
Human,160,0.8036749924972043,0.9424439841987998
Human,161,0.816485376127821,0.9467989685788002
Human,162,0.8773954904991298,0.9662449848148007
Human,163,0.855820839807405,0.9595849544577847
Human,164,0.8639435325724901,0.962120577870802
Human,165,0.8468855922978985,0.9567553656425201
Human,166,0.8656927098825188,0.9626621148396795
Human,167,0.8259705940192468,0.9499615237860384
Human,168,0.7902793781196678,0.9377838349036559
Human,169,0.8933730698987538,0.9710262293079233
Human,170,0.8501825100603989,0.9578043981481482
Human,171,0.8056586724983883,0.9431247610441016
Human,172,0.8786367318026359,0.9666209390015618
Human,173,0.8561394448063805,0.9596850644426933
Human,174,0.8711433681307832,0.9643395255625441
Human,175,0.7931890780755657,0.9388055015358332
Human,176,0.8855190083666891,0.9686915886043981
Human,177,0.8323394612016327,0.9520561460058627
Human,178,0.8819448101668436,0.96761915767608
Human,179,0.8570253139687756,0.9599631348206777
Human,180,0.8367490844308337,0.9534930437119374
Human,181,0.7933709539403689,0.9388691873595294
Human,182,0.785331163968647,0.9360341917977207
Human,183,0.8745324760291983,0.965374872220003
Human,184,0.8181198954532671,0.9473476646728709
Human,185,0.8400252650923873,0.9545536107142214
Human,186,0.8393317689605128,0.9543296062035089
Human,187,0.8410630191633055,0.9548883190078001
Human,188,0.8629422358216798,0.9618098684193278
Human,189,0.8720322095772917,0.9646116230949323
Human,190,0.8735379420348388,0.9650716524768884
Human,191,0.8418085789908798,0.9551284205620617
Human,192,0.8770026729038422,0.9661258453679197
Human,193,0.8981876848228798,0.9724426640779682
Human,194,0.8827741327859462,0.9678685558965899
Human,195,0.8195383377593966,0.9478225643652787
