source,bootstrap_replicate,icc_2_1,icc_2_k,icc_c_1,icc_c_k
Human,233,0.1983304513017849,0.4260098874366771,0.25334311595517867,0.5044377069151815
Human,234,0.16995478263621389,0.3805214628831888,0.2610841180563728,0.5145635913211263
Human,235,0.15369024177801877,0.352667590753655,0.23922381250702401,0.4854222938835948
Human,236,0.24929959597746754,0.4990652550377813,0.49374676021580866,0.7452805583616443
Human,237,0.223345012527401,0.46315038189111823,0.6129435148129032,0.8261113524471344
Human,238,0.14609238187127938,0.3391752928152896,0.20284852805697615,0.4329137501740609
Human,239,0.23807854303568776,0.483847983284706,0.40888046281905494,0.6748089757879258
Human,240,0.11524769539469332,0.2809787738922606,0.16291331986399132,0.36863036610295286
Human,241,0.12236126106883922,0.2949121403990428,0.159472532299542,0.36272746283337376
Human,242,0.4580402776852065,0.7171519115958969,0.678701374306082,0.8637065194383645
Human,243,0.17214066955327778,0.3841621494225761,0.2421359623593292,0.48940350819859174
Human,244,0.14828052807307243,0.3430934332868594,0.20384879492980884,0.43443022790883146
Human,245,0.15594075375179642,0.35660405195101663,0.24039988578358182,0.48703387939308207
Human,246,0.158543194710406,0.3611225413546152,0.4073253855640408,0.6733946697261635
Human,247,0.28842707500736015,0.54873890842346,0.5604355182814598,0.7927434180859494
Human,248,0.23092077058651142,0.473896993790204,0.5370955105529149,0.7768264905513412
Human,249,0.14110192206176428,0.33013921158117454,0.21742954971087874,0.45460118655239806
Human,250,0.18463356781959908,0.4045234775902414,0.39777917782326216,0.6646052631578788
Human,251,0.10829231992152444,0.2670401623733188,0.15433967342724522,0.35380631733406415
Human,252,0.17147238364994777,0.38305160679401773,0.24179562470044214,0.48893984404010066
Human,253,0.06289740695420637,0.16760800328040049,0.08235934634190702,0.21213537704661467
Human,254,0.14516212824795918,0.3375015098348305,0.2344438779132409,0.47881918203068374
Human,255,0.17997865448814104,0.3970242006132265,0.2351159435170499,0.4797527769405468
Human,256,0.11185126136283438,0.2742118920708706,0.18114802332423577,0.3989177472177883
Human,257,0.1780414998179814,0.3938730148503658,0.254482258285111,0.5059408398751468
Human,258,0.1885496142675837,0.4107538738544185,0.5144802607750638,0.7607051817578006
Human,259,0.13186682520808463,0.31304102371095033,0.18736308190775594,0.408873607354068
Human,260,0.12839696524396507,0.30648691594361144,0.18636064196446284,0.4072800010015257
Human,261,0.15482456512695783,0.35465506344498626,0.22368897147657638,0.46364318158705664
Human,262,0.2702156596075361,0.5262467522639529,0.45155844155843267,0.711819298485048
Human,263,0.15570783490453802,0.3561978977890517,0.24342778549125804,0.49115957913195424
Human,264,0.11757139181888202,0.28556550718600004,0.16724611161939285,0.37597696421225274
Human,265,0.09268062908203681,0.23456299531566505,0.13884787064401782,0.3260115835653791
Human,266,0.12655186057257256,0.30297219241418466,0.17165015095875993,0.38334723229139744
Human,267,0.1605254231391434,0.36454029818318096,0.2263383317339645,0.4674233518564982
Human,268,0.057056736025391235,0.153638038108538,0.07908533474279612,0.20485409489239345
Human,269,0.21885858642774897,0.4566793606417039,0.5375211910829971,0.7771231985949835
Human,270,0.329309735902364,0.59563343159847,0.5228763871321389,0.7667735716308873
Human,271,0.15421798437292997,0.35359311740890553,0.19505929326664873,0.42095536702323594
Human,272,0.3154567619646846,0.5802700584724801,0.5949032658774599,0.8150079798155073
Human,273,0.11674041103872256,0.28392920817878653,0.16918136030442898,0.37922759883986545
Human,274,0.22897089353048047,0.4711523372796499,0.5409376626496198,0.7794957595338248
Human,275,0.13673706196333216,0.32211976528045994,0.17925440182470467,0.3958481564709055
Human,276,0.1299154418142375,0.30936400314317825,0.1903859901294771,0.4136511882876669
Human,277,0.19092561895085688,0.4144996517297401,0.2638247114986204,0.5180993247410082
Human,278,0.1247282097498859,0.299477935692599,0.19164518416691756,0.41562897108382174
Human,279,0.09337828396051193,0.23605081231804753,0.12725854786982105,0.30432079794366984
Human,280,0.08567443267436974,0.21942506252958807,0.10790236296579579,0.2662492438079247
Human,281,0.3303688353066631,0.596786911899195,0.5207373517050518,0.7652370379635945
Human,282,0.33689119093419817,0.6038261507295877,0.529751360894505,0.7716688430996547
Human,283,0.1983814105347241,0.42608825394456945,0.24805346780711823,0.49739787023701937
Human,284,0.27758942745396337,0.5354807131885764,0.5469426820724713,0.7836284040733343
Human,285,0.2674319644516938,0.5227146708231634,0.4671823401252336,0.7245515980958793
Human,286,0.17311733019784797,0.3857811760996347,0.2396618695312323,0.48602316694340403
Human,287,0.30383262728798527,0.5669699455589514,0.5722231839769908,0.8005187621310617
Human,288,0.30183436705776845,0.5646447311156894,0.5268589817262311,0.7696173346614832
Human,289,0.162042335408547,0.36714193354844266,0.22392388529897114,0.46397948012136697
Human,290,0.13838313478492553,0.3251569329871492,0.2022067164133337,0.43193844138834164
Human,291,0.13366993503472197,0.31641851927391235,0.1719536255015387,0.38385154639174934
Human,292,0.17419217648602087,0.38755754492865885,0.5209948713784787,0.7654223630061918
Human,293,0.19983952116585396,0.4283257413777028,0.4573382566057054,0.7165778450563904
Human,294,0.12218755389704873,0.29457569457569066,0.1820174706875448,0.40032142542635796
Human,295,0.26507066628208487,0.5196983977379787,0.41883086826793803,0.68374531602992
Human,296,0.3236002779865007,0.5893640761832126,0.5448152569653442,0.7821697472351546
Human,297,0.3724511280630981,0.6403529941384202,0.5682084923958737,0.7978898732420364
Human,298,0.11297064321323795,0.27645037604338785,0.149018345239291,0.3444086280435149
Human,299,0.10314857291771784,0.25652528468749974,0.15566208201356146,0.35611808189864597
Human,300,0.32208171242717387,0.5876819315373827,0.5942401129552319,0.8145928474743419
Human,301,0.09208066239316208,0.2332807037329417,0.1279186875513495,0.3055778321796371
Human,302,0.07875884071560428,0.2041234669129802,0.10751711018984444,0.26546686929421504
Human,303,0.22616095933133687,0.4671711342198641,0.442175626338612,0.7039700677520448
Human,304,0.14089481242146715,0.32976116288676904,0.19731587067662268,0.42444725333404987
Human,305,0.27210795180722624,0.5286332393747267,0.474145633611673,0.7300945832715449
Human,306,0.1484666227500868,0.34342543827572874,0.19257806114108078,0.4170895786616288
Human,307,0.2736677627743178,0.5305916362463481,0.5026385676347096,0.7519737179377616
Human,308,0.28211018028799445,0.5410558270398304,0.5466156766309024,0.7834045803572521
Human,309,0.3731469910938531,0.6410380982239635,0.5334942667471264,0.7743065693430607
Human,310,0.1056746327914833,0.26171138859929133,0.1654824944732873,0.3729981536274577
Human,311,0.2031973075304989,0.4334430152557556,0.41851088849788304,0.683460959045856
Human,312,0.10997993081760239,0.27045135076047816,0.14179788473381105,0.33140780323533425
Human,313,0.3340449608604836,0.6007679019771002,0.6539433617539441,0.8500547558417144
Human,314,0.4347083199958449,0.6976106514133371,0.6420010988028063,0.8432580749823733
Human,315,0.08538113050887489,0.21878343712920664,0.11832605446377936,0.2870477160299997
Human,316,0.07984471881596435,0.20655026136740431,0.10520268543592488,0.26074575006259554
Human,317,0.18607472921440346,0.4068246241064806,0.2553572930838889,0.5070923960527564
Human,318,0.3493884228347489,0.6170117465258709,0.6561517576450282,0.8512962333528956
Human,319,0.15309312870298666,0.3516186022513114,0.21302509162672192,0.44814360839823725
Human,320,0.38569148511690926,0.6532040077126837,0.5675950229299856,0.7974864214506684
Human,321,0.13484653036308195,0.3186121146932009,0.18469434772923368,0.4046207223889749
Human,322,0.17356519806655835,0.38652204396420026,0.24688890958715137,0.49583460087181064
Human,323,0.2558854540873916,0.5077861719068233,0.5568788709513551,0.7903633324366837
Human,324,0.43631235967361925,0.698985261434084,0.6961164260885196,0.8729707379300754
Human,325,0.09183126573149741,0.23274691043399398,0.12871684339699513,0.3070941507663376
Human,326,0.24013339769186834,0.48666915675079525,0.5564096307141659,0.7900481231953778
Human,327,0.3022498250663148,0.5651291199247014,0.5379646634158605,0.7774320490527984
Human,328,0.16021817748199374,0.36401188943263396,0.219255203614814,0.4572546764616097
Human,329,0.18256750355281698,0.4012075785967078,0.26053833312638375,0.5138564128425497
Human,330,0.21780773323873617,0.4551519644180861,0.2708488112927169,0.5270465634600296
Human,331,0.1469574769175949,0.3407275180227495,0.19955547433092427,0.42789059978792626
Human,332,0.12683571188064838,0.30351424498481266,0.1703218177104056,0.3811344339622596
Human,333,0.244580127287337,0.4927209006606062,0.5122014914545925,0.7590408072584379
Human,334,0.2347991467718184,0.4793129138827075,0.4007668825850492,0.6673761385991164
Human,335,0.20754338659903954,0.4399943322132691,0.2904145534612003,0.5511308316429983
Human,336,0.2977506147195347,0.5598565690059949,0.5725246215030521,0.8007153542555147
Human,337,0.2620675920578305,0.5158353303349956,0.5064464234857495,0.7548038499630881
Human,338,0.3583366107276651,0.6262169286194392,0.6805183932762991,0.8646858835307759
Human,339,0.14546571012312634,0.3380482677276022,0.18519436125530736,0.4054200641319264
