endpoint,bootstrap_replicate,icc_c_k
QGEval,540,0.7850024396194191
QGEval,541,0.7256318502014267
QGEval,542,0.5690626957066303
QGEval,543,0.7490160341265282
QGEval,544,0.6431579065563273
QGEval,545,0.7683771176037314
QGEval,546,0.4336643448795168
QGEval,547,0.7550853614239009
QGEval,548,0.4342758800975947
QGEval,549,0.4508241758241757
QGEval,550,0.23288595933926226
QGEval,551,0.7413920048507943
QGEval,552,0.7727767695099816
QGEval,553,0.6678852248023441
QGEval,554,0.73843984962406
QGEval,555,0.4255626223091956
QGEval,556,0.7175827423167842
QGEval,557,0.5800580616346579
QGEval,558,0.4417088444711325
QGEval,559,0.7942119640524166
QGEval,560,0.4677231653888271
QGEval,561,0.6085740208679871
QGEval,562,0.6874393792434523
QGEval,563,0.7126094481775601
QGEval,564,0.7127242211266127
QGEval,565,0.37139252483835244
QGEval,566,0.7210894590324276
QGEval,567,0.6671792726735885
QGEval,568,0.6744247232397643
QGEval,569,0.7279311268926699
QGEval,570,0.5909110009244463
QGEval,571,0.7444546833165234
QGEval,572,0.7832542485102622
QGEval,573,0.4008372415095493
QGEval,574,0.40020718232043834
QGEval,575,0.7949645069523829
QGEval,576,0.6767908957304887
QGEval,577,0.756089701059655
QGEval,578,0.6104498256414255
QGEval,579,0.7469361088582497
QGEval,580,0.5620498658423684
QGEval,581,0.762466809279251
QGEval,582,0.7929110084974994
QGEval,583,0.6784648232932146
QGEval,584,0.6868853662116536
QGEval,585,0.7391079631072055
QGEval,586,0.500234341712824
QGEval,587,0.6790588386764514
QGEval,588,0.7572235023041475
QGEval,589,0.654705882352941
QGEval,590,0.6461390558698713
QGEval,591,0.48569679874397914
QGEval,592,0.6691378427447502
QGEval,593,0.7228411911693147
QGEval,594,0.6276133686690221
QGEval,595,0.6056705552144539
QGEval,596,0.6837482448678391
QGEval,597,0.6200785165175012
QGEval,598,0.7635138516979898
QGEval,599,0.5951753380701337
QGEval,600,0.6098949791690002
QGEval,601,0.6775098605294186
QGEval,602,0.5896677376381156
QGEval,603,0.7355132283654803
QGEval,604,0.39136306633653783
QGEval,605,0.5387560324607042
QGEval,606,0.5446867281081507
QGEval,607,0.28665323863033954
QGEval,608,0.667089678510998
QGEval,609,0.7696581994770263
QGEval,610,0.7324769512597973
QGEval,611,0.706181993549748
QGEval,612,0.6002012650948811
QGEval,613,0.6427554892924907
QGEval,614,0.6785573851069052
QGEval,615,0.719057219462515
QGEval,616,0.5736756500792649
QGEval,617,0.6683913107294871
QGEval,618,0.6491165178777918
QGEval,619,0.6521216827850644
QGEval,620,0.6720629718742221
QGEval,621,0.6163888849080665
QGEval,622,0.6536827872546733
QGEval,623,0.7382198038816302
QGEval,624,0.5956318185722861
QGEval,625,0.6192674796579637
QGEval,626,0.4662959056477115
QGEval,627,0.704071572028483
QGEval,628,0.7159156968460404
QGEval,629,0.7429697806648712
QGEval,630,0.5564532836130087
QGEval,631,0.6309398654331361
QGEval,632,0.6648565265375735
QGEval,633,0.8084556204319028
QGEval,634,0.6607896625987073
QGEval,635,0.7511202264975363
QGEval,636,0.6750262553969417
QGEval,637,0.6719051029362806
QGEval,638,0.5316479400749048
QGEval,639,0.43042903320599374
QGEval,640,-0.09516943042538269
QGEval,641,0.7046490346659001
QGEval,642,0.7648419775826046
QGEval,643,0.6583583664853452
QGEval,644,0.5008033826638466
